"country","city"
"Spain","A Corua (La Corua)"
"Saudi Arabia","Abha"
"United Arab Emirates","Abu Dhabi"
"Mexico","Acua"
"Turkey","Adana"
"Ethiopia","Addis Abeba"
"Yemen","Aden"
"India","Adoni"
"India","Ahmadnagar"
"Japan","Akishima"
"United States","Akron"
"United Arab Emirates","al-Ayn"
"Saudi Arabia","al-Hawiya"
"Bahrain","al-Manama"
"Sudan","al-Qadarif"
"Saudi Arabia","al-Qatif"
"Italy","Alessandria"
"India","Allappuzha (Alleppey)"
"Mexico","Allende"
"Argentina","Almirante Brown"
"Brazil","Alvorada"
"India","Ambattur"
"Netherlands","Amersfoort"
"India","Amroha"
"Brazil","Angra dos Reis"
"Brazil","Anpolis"
"Chile","Antofagasta"
"Brazil","Aparecida de Goinia"
"Netherlands","Apeldoorn"
"Brazil","Araatuba"
"Iran","Arak"
"Puerto Rico","Arecibo"
"United States","Arlington"
"Israel","Ashdod"
"Turkmenistan","Ashgabat"
"Israel","Ashqelon"
"Paraguay","Asuncin"
"Greece","Athenai"
"Russian Federation","Atinsk"
"Mexico","Atlixco"
"United States","Augusta-Richmond County"
"United States","Aurora"
"Argentina","Avellaneda"
"Brazil","Bag"
"Argentina","Baha Blanca"
"China","Baicheng"
"China","Baiyin"
"Azerbaijan","Baku"
"Russian Federation","Balaiha"
"Turkey","Balikesir"
"India","Balurghat"
"Cameroon","Bamenda"
"Brunei","Bandar Seri Begawan"
"Gambia","Banjul"
"Venezuela","Barcelona"
"Switzerland","Basel"
"Israel","Bat Yam"
"Turkey","Batman"
"Algeria","Batna"
"Cambodia","Battambang"
"Philippines","Baybay"
"Philippines","Bayugan"
"Algeria","Bchar"
"Mozambique","Beira"
"United States","Bellevue"
"Brazil","Belm"
"Angola","Benguela"
"Morocco","Beni-Mellal"
"Nigeria","Benin City"
"Italy","Bergamo"
"India","Berhampore (Baharampur)"
"Switzerland","Bern"
"India","Bhavnagar"
"India","Bhilwara"
"India","Bhimavaram"
"India","Bhopal"
"India","Bhusawal"
"India","Bijapur"
"Egypt","Bilbays"
"China","Binzhou"
"Nepal","Birgunj"
"Philippines","Bislig"
"Brazil","Blumenau"
"Brazil","Boa Vista"
"South Africa","Boksburg"
"Romania","Botosani"
"South Africa","Botshabelo"
"United Kingdom","Bradford"
"Brazil","Braslia"
"Slovakia","Bratislava"
"Italy","Brescia"
"France","Brest"
"Italy","Brindisi"
"United States","Brockton"
"Romania","Bucuresti"
"Colombia","Buenaventura"
"Poland","Bydgoszcz"
"Philippines","Cabuyao"
"Peru","Callao"
"Vietnam","Cam Ranh"
"United States","Cape Coral"
"Venezuela","Caracas"
"Mexico","Carmen"
"Philippines","Cavite"
"French Guiana","Cayenne"
"Mexico","Celaya"
"India","Chandrapur"
"Taiwan","Changhwa"
"China","Changzhou"
"India","Chapra"
"Virgin Islands, U.S.","Charlotte Amalie"
"South Africa","Chatsworth"
"South Korea","Cheju"
"Taiwan","Chiayi"
"Moldova","Chisinau"
"Taiwan","Chungho"
"Indonesia","Cianjur"
"Indonesia","Ciomas"
"Indonesia","Ciparay"
"United States","Citrus Heights"
"Holy See (Vatican City State)","Citt del Vaticano"
"Paraguay","Ciudad del Este"
"United States","Clarksville"
"Mexico","Coacalco de Berriozbal"
"Mexico","Coatzacoalcos"
"United States","Compton"
"Chile","Coquimbo"
"Argentina","Crdoba"
"Mexico","Cuauhtmoc"
"Mexico","Cuautla"
"Mexico","Cuernavaca"
"Venezuela","Cuman"
"Poland","Czestochowa"
"Pakistan","Dadu"
"United States","Dallas"
"China","Datong"
"Latvia","Daugavpils"
"Philippines","Davao"
"China","Daxian"
"United States","Dayton"
"Nigeria","Deba Habe"
"Turkey","Denizli"
"Bangladesh","Dhaka"
"India","Dhule (Dhulia)"
"China","Dongying"
"Spain","Donostia-San Sebastin"
"Colombia","Dos Quebradas"
"Germany","Duisburg"
"United Kingdom","Dundee"
"Russian Federation","Dzerzinsk"
"Netherlands","Ede"
"Nigeria","Effon-Alaiye"
"Bolivia","El Alto"
"Mexico","El Fuerte"
"United States","El Monte"
"Russian Federation","Elista"
"China","Emeishan"
"Netherlands","Emmen"
"China","Enshi"
"Germany","Erlangen"
"Argentina","Escobar"
"Iran","Esfahan"
"Turkey","Eskisehir"
"India","Etawah"
"Argentina","Ezeiza"
"China","Ezhou"
"French Polynesia","Faaa"
"Taiwan","Fengshan"
"India","Firozabad"
"Colombia","Florencia"
"United States","Fontana"
"Japan","Fukuyama"
"Tuvalu","Funafuti"
"China","Fuyu"
"China","Fuzhou"
"India","Gandhinagar"
"United States","Garden Grove"
"United States","Garland"
"Canada","Gatineau"
"Turkey","Gaziantep"
"Spain","Gijn"
"Philippines","Gingoog"
"Brazil","Goinia"
"Indonesia","Gorontalo"
"United States","Grand Prairie"
"Austria","Graz"
"United States","Greensboro"
"Mexico","Guadalajara"
"Brazil","Guaruj"
"Brazil","guas Lindas de Gois"
"India","Gulbarga"
"Philippines","Hagonoy"
"China","Haining"
"Vietnam","Haiphong"
"India","Haldia"
"Canada","Halifax"
"India","Halisahar"
"Germany","Halle/Saale"
"China","Hami"
"New Zealand","Hamilton"
"Vietnam","Hanoi"
"Mexico","Hidalgo"
"Japan","Higashiosaka"
"Japan","Hino"
"Japan","Hiroshima"
"Yemen","Hodeida"
"China","Hohhot"
"India","Hoshiarpur"
"Taiwan","Hsichuh"
"China","Huaian"
"India","Hubli-Dharwad"
"Mexico","Huejutla de Reyes"
"Mexico","Huixquilucan"
"Peru","Hunuco"
"Brazil","Ibirit"
"Egypt","Idfu"
"Nigeria","Ife"
"Nigeria","Ikerre"
"Philippines","Iligan"
"Nigeria","Ilorin"
"Philippines","Imus"
"Turkey","Inegl"
"Malaysia","Ipoh"
"Japan","Isesaki"
"Russian Federation","Ivanovo"
"Japan","Iwaki"
"Japan","Iwakuni"
"Japan","Iwatsuki"
"Japan","Izumisano"
"Sri Lanka","Jaffna"
"India","Jaipur"
"Indonesia","Jakarta"
"Kuwait","Jalib al-Shuyukh"
"Bangladesh","Jamalpur"
"Russian Federation","Jaroslavl"
"Poland","Jastrzebie-Zdrj"
"Saudi Arabia","Jedda"
"Russian Federation","Jelets"
"India","Jhansi"
"China","Jinchang"
"China","Jining"
"China","Jinzhou"
"India","Jodhpur"
"South Africa","Johannesburg"
"United States","Joliet"
"Mexico","Jos Azueta"
"Brazil","Juazeiro do Norte"
"Brazil","Juiz de Fora"
"China","Junan"
"Mexico","Jurez"
"Afghanistan","Kabul"
"Nigeria","Kaduna"
"Japan","Kakamigahara"
"Russian Federation","Kaliningrad"
"Poland","Kalisz"
"Japan","Kamakura"
"India","Kamarhati"
"Ukraine","Kamjanets-Podilskyi"
"Russian Federation","Kamyin"
"Japan","Kanazawa"
"India","Kanchrapara"
"United States","Kansas City"
"India","Karnal"
"India","Katihar"
"Iran","Kermanshah"
"Turkey","Kilis"
"South Africa","Kimberley"
"South Korea","Kimchon"
"Saint Vincent and the Grenadines","Kingstown"
"Russian Federation","Kirovo-Tepetsk"
"Kenya","Kisumu"
"Zambia","Kitwe"
"South Africa","Klerksdorp"
"Russian Federation","Kolpino"
"Ukraine","Konotop"
"Japan","Koriyama"
"China","Korla"
"Russian Federation","Korolev"
"Hong Kong","Kowloon and New Kowloon"
"Yugoslavia","Kragujevac"
"Turkey","Ktahya"
"Malaysia","Kuching"
"India","Kumbakonam"
"Japan","Kurashiki"
"Russian Federation","Kurgan"
"Russian Federation","Kursk"
"Japan","Kuwana"
"Mexico","La Paz"
"Argentina","La Plata"
"Dominican Republic","La Romana"
"China","Laiwu"
"United States","Lancaster"
"China","Laohekou"
"Philippines","Lapu-Lapu"
"United States","Laredo"
"Switzerland","Lausanne"
"France","Le Mans"
"China","Lengshuijiang"
"China","Leshan"
"Canada","Lethbridge"
"Indonesia","Lhokseumawe"
"China","Liaocheng"
"Latvia","Liepaja"
"Malawi","Lilongwe"
"Peru","Lima"
"United States","Lincoln"
"Austria","Linz"
"Russian Federation","Lipetsk"
"Italy","Livorno"
"Russian Federation","Ljubertsy"
"Ecuador","Loja"
"United Kingdom","London"
"Canada","London"
"Poland","Lublin"
"Congo, The Democratic Republic of the","Lubumbashi"
"Taiwan","Lungtan"
"Brazil","Luzinia"
"Indonesia","Madiun"
"Madagascar","Mahajanga"
"Russian Federation","Maikop"
"Sweden","Malm"
"United States","Manchester"
"Philippines","Mandaluyong"
"Pakistan","Mandi Bahauddin"
"Germany","Mannheim"
"Venezuela","Maracabo"
"Pakistan","Mardan"
"Brazil","Maring"
"Oman","Masqat"
"Mexico","Matamoros"
"Japan","Matsue"
"China","Meixian"
"United States","Memphis"
"Argentina","Merlo"
"Mexico","Mexicali"
"India","Miraj"
"Egypt","Mit Ghamr"
"Japan","Miyakonojo"
"Belarus","Mogiljov"
"Belarus","Molodetno"
"Mexico","Monclova"
"Myanmar","Monywa"
"Russian Federation","Moscow"
"Iraq","Mosul"
"Ukraine","Mukateve"
"India","Munger (Monghyr)"
"Tanzania","Mwanza"
"Congo, The Democratic Republic of the","Mwene-Ditu"
"Myanmar","Myingyan"
"India","Mysore"
"Mozambique","Naala-Porto"
"Russian Federation","Nabereznyje Telny"
"Morocco","Nador"
"India","Nagaon"
"Japan","Nagareyama"
"Iran","Najafabad"
"South Korea","Naju"
"Thailand","Nakhon Sawan"
"Vietnam","Nam Dinh"
"Angola","Namibe"
"Taiwan","Nantou"
"China","Nanyang"
"Chad","NDjamna"
"South Africa","Newcastle"
"Mexico","Nezahualcyotl"
"Vietnam","Nha Trang"
"Russian Federation","Niznekamsk"
"Yugoslavia","Novi Sad"
"Russian Federation","Novoterkassk"
"Tonga","Nukualofa"
"Greenland","Nuuk"
"Kenya","Nyeri"
"Venezuela","Ocumare del Tuy"
"Nigeria","Ogbomosho"
"Pakistan","Okara"
"Japan","Okayama"
"Japan","Okinawa"
"Czech Republic","Olomouc"
"Sudan","Omdurman"
"Japan","Omiya"
"Nigeria","Ondo"
"Japan","Onomichi"
"Canada","Oshawa"
"Turkey","Osmaniye"
"Ukraine","ostka"
"Japan","Otsu"
"Finland","Oulu"
"Spain","Ourense (Orense)"
"Nigeria","Owo"
"Nigeria","Oyo"
"Philippines","Ozamis"
"South Africa","Paarl"
"Mexico","Pachuca de Soto"
"Thailand","Pak Kret"
"India","Palghat (Palakkad)"
"Indonesia","Pangkal Pinang"
"French Polynesia","Papeete"
"India","Parbhani"
"India","Pathankot"
"India","Patiala"
"Greece","Patras"
"Kazakstan","Pavlodar"
"Indonesia","Pemalang"
"United States","Peoria"
"Colombia","Pereira"
"Cambodia","Phnom Penh"
"China","Pingxiang"
"Russian Federation","Pjatigorsk"
"Poland","Plock"
"Brazil","Po"
"Puerto Rico","Ponce"
"Indonesia","Pontianak"
"Brazil","Poos de Caldas"
"Ecuador","Portoviejo"
"Indonesia","Probolinggo"
"India","Pudukkottai"
"India","Pune"
"India","Purnea (Purnia)"
"Indonesia","Purwakarta"
"North Korea","Pyongyang"
"Egypt","Qalyub"
"China","Qinhuangdao"
"Iran","Qomsheh"
"Argentina","Quilmes"
"India","Rae Bareli"
"India","Rajkot"
"India","Rampur"
"Chile","Rancagua"
"India","Ranchi"
"Canada","Richmond Hill"
"Brazil","Rio Claro"
"China","Rizhao"
"United States","Roanoke"
"Ecuador","Robamba"
"United States","Rockford"
"Bulgaria","Ruse"
"South Africa","Rustenburg"
"Netherlands","s-Hertogenbosch"
"Germany","Saarbrcken"
"Japan","Sagamihara"
"United States","Saint Louis"
"Runion","Saint-Denis"
"Morocco","Sal"
"Oman","Salala"
"Mexico","Salamanca"
"United States","Salinas"
"Austria","Salzburg"
"India","Sambhal"
"United States","San Bernardino"
"Dominican Republic","San Felipe de Puerto Plata"
"Mexico","San Felipe del Progreso"
"Mexico","San Juan Bautista Tuxtepec"
"Paraguay","San Lorenzo"
"Argentina","San Miguel de Tucumn"
"Yemen","Sanaa"
"Brazil","Santa Brbara dOeste"
"Argentina","Santa F"
"Philippines","Santa Rosa"
"Spain","Santiago de Compostela"
"Dominican Republic","Santiago de los Caballeros"
"Brazil","Santo Andr"
"China","Sanya"
"Japan","Sasebo"
"India","Satna"
"Egypt","Sawhaj"
"Russian Federation","Serpuhov"
"Iran","Shahr-e Kord"
"China","Shanwei"
"China","Shaoguan"
"United Arab Emirates","Sharja"
"China","Shenzhen"
"Pakistan","Shikarpur"
"India","Shimoga"
"Japan","Shimonoseki"
"India","Shivapuri"
"Egypt","Shubra al-Khayma"
"Germany","Siegen"
"India","Siliguri (Shiliguri)"
"Ukraine","Simferopol"
"Colombia","Sincelejo"
"Iran","Sirjan"
"Turkey","Sivas"
"Algeria","Skikda"
"Russian Federation","Smolensk"
"Brazil","So Bernardo do Campo"
"Brazil","So Leopoldo"
"Colombia","Sogamoso"
"Nigeria","Sokoto"
"Thailand","Songkhla"
"Brazil","Sorocaba"
"South Africa","Soshanguve"
"Tunisia","Sousse"
"Anguilla","South Hill"
"United Kingdom","Southampton"
"United Kingdom","Southend-on-Sea"
"United Kingdom","Southport"
"South Africa","Springs"
"Bulgaria","Stara Zagora"
"United States","Sterling Heights"
"United Kingdom","Stockport"
"Bolivia","Sucre"
"China","Suihua"
"Peru","Sullana"
"Turkey","Sultanbeyli"
"Azerbaijan","Sumqayit"
"Ukraine","Sumy"
"Malaysia","Sungai Petani"
"United States","Sunnyvale"
"Indonesia","Surakarta"
"Russian Federation","Syktyvkar"
"Italy","Syrakusa"
"Hungary","Szkesfehrvr"
"Tanzania","Tabora"
"Iran","Tabriz"
"Saudi Arabia","Tabuk"
"American Samoa","Tafuna"
"Philippines","Taguig"
"Yemen","Taizz"
"Philippines","Talavera"
"United States","Tallahassee"
"Japan","Tama"
"India","Tambaram"
"Philippines","Tanauan"
"Argentina","Tandil"
"Bangladesh","Tangail"
"Taiwan","Tanshui"
"Philippines","Tanza"
"Philippines","Tarlac"
"Turkey","Tarsus"
"Estonia","Tartu"
"Russian Federation","Teboksary"
"Indonesia","Tegal"
"Israel","Tel Aviv-Jaffa"
"Mozambique","Tete"
"China","Tianjin"
"China","Tiefa"
"China","Tieli"
"Turkey","Tokat"
"South Korea","Tonghae"
"China","Tongliao"
"Mexico","Torren"
"Taiwan","Touliu"
"France","Toulon"
"France","Toulouse"
"Faroe Islands","Trshavn"
"Taiwan","Tsaotun"
"Japan","Tsuyama"
"Philippines","Tuguegarao"
"Poland","Tychy"
"India","Udaipur"
"Italy","Udine"
"Japan","Ueda"
"South Korea","Uijongbu"
"India","Uluberia"
"Japan","Urawa"
"Mexico","Uruapan"
"Turkey","Usak"
"Russian Federation","Usolje-Sibirskoje"
"India","Uttarpara-Kotrung"
"Liechtenstein","Vaduz"
"Venezuela","Valencia"
"Venezuela","Valle de la Pascua"
"Mexico","Valle de Santiago"
"India","Valparai"
"Canada","Vancouver"
"India","Varanasi (Benares)"
"Argentina","Vicente Lpez"
"India","Vijayawada"
"Brazil","Vila Velha"
"Lithuania","Vilnius"
"Vietnam","Vinh"
"Brazil","Vitria de Santo Anto"
"United States","Warren"
"China","Weifang"
"Germany","Witten"
"Australia","Woodridge"
"Poland","Wroclaw"
"China","Xiangfan"
"China","Xiangtan"
"China","Xintai"
"China","Xinxiang"
"India","Yamuna Nagar"
"Nauru","Yangor"
"China","Yantai"
"Cameroon","Yaound"
"Armenia","Yerevan"
"China","Yinchuan"
"China","Yingkou"
"United Kingdom","York"
"China","Yuncheng"
"China","Yuzhou"
"China","Zalantun"
"Tanzania","Zanzibar"
"China","Zaoyang"
"Mexico","Zapopan"
"Nigeria","Zaria"
"Russian Federation","Zeleznogorsk"
"Kazakstan","Zhezqazghan"
"China","Zhoushan"
"Senegal","Ziguinchor"
